[ 2024-12-26 14:20:35,163 ] 17 root - INFO - Initiate the data ingestion
[ 2024-12-26 14:20:37,431 ] 69 root - INFO - Performed train test split on the dataframe
[ 2024-12-26 14:20:37,431 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-26 14:20:37,432 ] 79 root - INFO - Exporting train and test file path.
[ 2024-12-26 14:20:37,509 ] 88 root - INFO - Exported train and test file path.
[ 2024-12-26 14:20:37,509 ] 19 root - INFO - Data Initiation Completed
[ 2024-12-26 14:20:37,518 ] 23 root - INFO - Initiate the data Validation
[ 2024-12-26 14:20:37,572 ] 32 root - INFO - Required number of columns:2
[ 2024-12-26 14:20:37,573 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-26 14:20:37,573 ] 32 root - INFO - Required number of columns:2
[ 2024-12-26 14:20:37,573 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-26 14:20:37,733 ] 25 root - INFO - data Validation Completed
[ 2024-12-26 14:20:37,734 ] 28 root - INFO - data Transformation started
[ 2024-12-26 14:20:37,734 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-26 14:20:37,734 ] 65 root - INFO - Starting data transformation
[ 2024-12-26 14:20:37,768 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-26 14:20:37,768 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-26 14:20:37,780 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 14:20:37,783 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 14:20:37,784 ] 32 root - INFO - data Transformation completed
[ 2024-12-26 14:20:37,784 ] 34 root - INFO - Model Training Started
