[ 2024-12-26 14:01:04,139 ] 17 root - INFO - Initiate the data ingestion
[ 2024-12-26 14:01:06,371 ] 69 root - INFO - Performed train test split on the dataframe
[ 2024-12-26 14:01:06,371 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-26 14:01:06,373 ] 79 root - INFO - Exporting train and test file path.
[ 2024-12-26 14:01:06,433 ] 88 root - INFO - Exported train and test file path.
[ 2024-12-26 14:01:06,434 ] 19 root - INFO - Data Initiation Completed
[ 2024-12-26 14:01:06,442 ] 23 root - INFO - Initiate the data Validation
[ 2024-12-26 14:01:06,503 ] 32 root - INFO - Required number of columns:2
[ 2024-12-26 14:01:06,503 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-26 14:01:06,503 ] 32 root - INFO - Required number of columns:2
[ 2024-12-26 14:01:06,503 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-26 14:01:06,677 ] 25 root - INFO - data Validation Completed
[ 2024-12-26 14:01:06,678 ] 28 root - INFO - data Transformation started
[ 2024-12-26 14:01:06,678 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-26 14:01:06,678 ] 65 root - INFO - Starting data transformation
[ 2024-12-26 14:01:06,709 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-12-26 14:01:06,709 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-26 14:01:06,724 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 14:01:06,729 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 14:01:06,730 ] 32 root - INFO - data Transformation completed
[ 2024-12-26 14:01:06,731 ] 34 root - INFO - Model Training Started
[ 2024-12-26 14:04:34,485 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 14:04:34,486 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 14:04:34,486 ] 106 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_26_2024_14_01_02\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991539081385979, precision_score=0.9883534136546185, recall_score=0.9947453516572352), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9701431492842536, precision_score=0.959546925566343, recall_score=0.9809760132340778))
[ 2024-12-26 14:04:34,488 ] 39 root - INFO - Model Training artifact created
